Water Control Zone,Station,Dates,Sample No,Depth,Total Inorganic Nitrogen (mg/L),Volatile Suspended Solids (mg/L),Unionised Ammonia (mg/L),Turbidity (NTU),Total Phosphorus (mg/L),Total Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Temperature (°C),Suspended Solids (mg/L),Silica (mg/L),Secchi Disc Depth (M),Salinity (psu),Phaeo-pigments (μg/L),pH,Orthophosphate Phosphorus (mg/L),Nitrite Nitrogen (mg/L),Nitrate Nitrogen (mg/L),Faecal Coliforms (cfu/100mL),E. coli (cfu/100mL),Dissolved Oxygen (mg/L),Dissolved Oxygen (%saturation),Chlorophyll-a (μg/L),Ammonia Nitrogen (mg/L),5-day Biochemical Oxygen Demand (mg/L)
Southern,ST3,2019/11/7,1,Surface Water,0.18,1,0.002,3.6,0.05,0.39,0.25,26.2,3.1,0.65,2.5,32.4,3.8,7.9,0.012,0.044,0.094,6,1,6.7,99,6.7,0.04,1.1
Southern,ST3,2019/11/7,1,Middle Water,0.15,1.4,0.001,3.4,0.05,0.44,0.32,26.2,5.2,0.82,2.5,32.4,3.7,7.9,0.009,0.047,0.068,3,3,6.5,96,6.2,0.033,0.9
Southern,ST3,2019/11/7,1,Bottom Water,0.19,1.5,0.002,4.2,0.05,0.5,0.36,26.2,5.4,0.79,2.5,32.4,3.3,7.9,0.012,0.045,0.098,6,2,7.2,106,5.3,0.046,0.8
Southern,ST3,2020/1/9,1,Surface Water,0.49,2.2,0.007,3.6,0.06,0.87,0.57,20.6,14,1.3,1.8,32,0.9,8,0.012,0.02,0.28,4,3,6.8,91,2.2,0.19,0.6
Southern,ST3,2020/1/9,1,Middle Water,0.51,2.4,0.007,3.5,0.06,1.1,0.79,20.6,15,1.3,1.8,32,1.6,8,0.006,0.021,0.29,11,6,6.3,85,0.8,0.2,0.8
Southern,ST3,2020/1/9,1,Bottom Water,0.52,2.2,0.007,3.5,0.06,0.82,0.5,20.6,13,1.4,1.8,32,0.9,8,0.006,0.022,0.3,140,60,6.1,82,1.2,0.2,0.5
Southern,ST3,2020/5/25,1,Surface Water,0.41,1.2,0.002,2.1,0.04,0.66,0.36,26,3.6,1.3,2,28.5,2.6,7.7,0.022,0.049,0.25,37,19,5,72,2.7,0.11,1
Southern,ST3,2020/5/25,1,Middle Water,0.4,1,0.003,2.5,0.03,0.72,0.43,26.1,3.4,1.4,2,28.6,2.2,7.7,0.02,0.051,0.24,88,41,4.8,70,1.5,0.11,0.9
Southern,ST3,2020/5/25,1,Bottom Water,0.37,1.1,0.003,3.2,0.03,0.91,0.65,26.2,3.6,1.4,2,29.1,2.4,7.7,0.021,0.05,0.21,43,20,4.8,70,1.7,0.11,1.2
Southern,ST3,2020/7/8,1,Surface Water,0.29,5.6,0.01,3.7,0.04,0.82,0.61,28.3,20,0.46,2.1,25.3,5,8.4,0.007,0.029,0.18,5,1,8.1,120,19,0.082,2.2
Southern,ST3,2020/7/8,1,Middle Water,0.29,5.7,0.008,4.2,0.05,0.66,0.45,28.1,19,0.15,2.1,25.4,6.4,8.3,0.008,0.028,0.18,7,4,8.2,121,24,0.079,2.7
Southern,ST3,2020/7/8,1,Bottom Water,0.24,5.5,0.005,6.1,0.04,0.4,0.22,27.7,16,0.11,2.1,25.7,6,8.2,0.008,0.027,0.15,13,5,7.3,107,25,0.063,3.1
Southern,ST3,2020/10/15,1,Surface Water,0.18,<0.5,0.006,7.6,0.08,0.89,0.84,27.1,6.5,1.3,1.9,32.4,1,8,0.012,0.014,0.038,25,14,5.6,84,1.3,0.13,0.6
Southern,ST3,2020/10/15,1,Middle Water,0.18,1,0.006,9,0.07,0.28,0.23,27,6.1,1.3,1.9,32.4,1.2,8,0.013,0.013,0.038,16,6,5.6,84,1.3,0.13,0.6
Southern,ST3,2020/10/15,1,Bottom Water,0.18,0.9,0.006,8.7,0.08,0.33,0.28,27,7.1,1.3,1.9,32.5,1.3,8,0.023,0.013,0.039,33,11,5.6,85,1.5,0.13,0.5
Southern,ST3,2020/11/6,1,Surface Water,0.2,1.1,0.002,4.6,0.05,0.59,0.45,24.5,3.9,0.83,2.1,33.1,2,7.8,0.009,0.041,0.099,1,1,5.7,83,5.9,0.056,0.6
Southern,ST3,2020/11/6,1,Middle Water,0.15,1.4,0.001,5.3,0.05,0.78,0.68,24.5,4.3,0.84,2.1,33.1,2.2,7.8,0.005,0.042,0.057,3,<1,6.6,96,6.5,0.053,0.6
Southern,ST3,2020/11/6,1,Bottom Water,0.2,1.4,0.001,6.1,0.05,0.64,0.49,24.5,5.8,0.84,2.1,33.2,2.1,7.8,0.013,0.038,0.11,3,1,6.5,94,6,0.051,0.5
